sample,key,value
session_info_load_03,"duration-last-5min","72351"
session_info_load_03,"duration-last-5min-dbms","3797"
session_info_load_03,"memory-current","0"
session_info_load_03,"memory-last-5min","39353066"
session_info_load_03,"memory-total","592039639"
session_info_load_03,"read-current","0"
session_info_load_03,"read-last-5min","1254920"
session_info_load_03,"read-total","28303414"
session_info_load_03,"write-current","0"
session_info_load_03,"write-last-5min","225160"
session_info_load_03,"write-total","15375459"
session_info_load_03,"duration-current-service","0"
session_info_load_03,"duration-last-5min-service","2910"
session_info_load_03,"duration-all-service","16910"
session_info_load_03,"current-service-name",""
session_info_load_03,"cpu-time-current","0"
session_info_load_03,"cpu-time-last-5min","30466"
session_info_load_03,"cpu-time-total","199902"
session_info_load_03,"data-separation","''"
session_info_load_03,"client-ip","127.0.0.1"
session_info_load_04,"session","25510e27-f24a-4586-9ac9-9f7837c0dea1"
session_info_load_04,"session-id","3"
session_info_load_04,"infobase","717bdda7-2f60-4577-b262-f1fc8c0e472c"
session_info_load_04,"connection","e41e750e-56d7-40fb-b2e0-5e71b8e8f508"
session_info_load_04,"process","f77f2c1d-1e5b-4855-a0b9-94390ccd4ce5"
session_info_load_04,"user-name","DefUser"
session_info_load_04,"host","alko-home"
session_info_load_04,"app-id","1CV8C"
session_info_load_04,"locale","ru"
session_info_load_04,"started-at","2026-02-15T00:10:57"
session_info_load_04,"last-active-at","2026-02-16T00:28:19"
session_info_load_04,"hibernate","no"
session_info_load_04,"passive-session-hibernate-time","1200"
session_info_load_04,"hibernate-session-terminate-time","86400"
session_info_load_04,"blocked-by-dbms","0"
session_info_load_04,"blocked-by-ls","0"
session_info_load_04,"bytes-all","26423906"
session_info_load_04,"bytes-last-5min","4874649"
session_info_load_04,"calls-all","21579"
session_info_load_04,"calls-last-5min","3912"
session_info_load_04,"dbms-bytes-all","37506321"
session_info_load_04,"dbms-bytes-last-5min","7176036"
session_info_load_04,"db-proc-info",""
session_info_load_04,"db-proc-took","0"
session_info_load_04,"db-proc-took-at",""
session_info_load_04,"duration-all","501903"
session_info_load_04,"duration-all-dbms","21912"
session_info_load_04,"duration-current","5"
session_info_load_04,"duration-current-dbms","0"
session_info_load_04,"duration-last-5min","76817"
session_info_load_04,"duration-last-5min-dbms","4249"
session_info_load_04,"memory-current","174352"
session_info_load_04,"memory-last-5min","39359969"
session_info_load_04,"memory-total","592046542"
session_info_load_04,"read-current","0"
session_info_load_04,"read-last-5min","1362556"
session_info_load_04,"read-total","28411050"
session_info_load_04,"write-current","0"
session_info_load_04,"write-last-5min","227737"
session_info_load_04,"write-total","15378036"
session_info_load_04,"duration-current-service","0"
session_info_load_04,"duration-last-5min-service","3313"
session_info_load_04,"duration-all-service","17313"
session_info_load_04,"current-service-name",""
session_info_load_04,"cpu-time-current","4"
session_info_load_04,"cpu-time-last-5min","33899"
session_info_load_04,"cpu-time-total","203335"
session_info_load_04,"data-separation","''"
session_info_load_04,"client-ip","127.0.0.1"
session_info_load_05,"session","25510e27-f24a-4586-9ac9-9f7837c0dea1"
session_info_load_05,"session-id","3"
session_info_load_05,"infobase","717bdda7-2f60-4577-b262-f1fc8c0e472c"
session_info_load_05,"connection","00000000-0000-0000-0000-000000000000"
session_info_load_05,"process","00000000-0000-0000-0000-000000000000"
session_info_load_05,"user-name","DefUser"
session_info_load_05,"host","alko-home"
session_info_load_05,"app-id","1CV8C"
session_info_load_05,"locale","ru"
session_info_load_05,"started-at","2026-02-15T00:10:57"
session_info_load_05,"last-active-at","2026-02-16T00:28:30"
session_info_load_05,"hibernate","no"
session_info_load_05,"passive-session-hibernate-time","1200"
session_info_load_05,"hibernate-session-terminate-time","86400"
session_info_load_05,"blocked-by-dbms","0"
session_info_load_05,"blocked-by-ls","0"
session_info_load_05,"bytes-all","26699838"
session_info_load_05,"bytes-last-5min","5150581"
session_info_load_05,"calls-all","21811"
session_info_load_05,"calls-last-5min","4144"
session_info_load_05,"dbms-bytes-all","37606684"
session_info_load_05,"dbms-bytes-last-5min","7276399"
session_info_load_05,"db-proc-info",""
session_info_load_05,"db-proc-took","0"
session_info_load_05,"db-proc-took-at",""
session_info_load_05,"duration-all","507059"
session_info_load_05,"duration-all-dbms","21953"
session_info_load_05,"duration-current","0"
session_info_load_05,"duration-current-dbms","0"
session_info_load_05,"duration-last-5min","81973"
session_info_load_05,"duration-last-5min-dbms","4290"
session_info_load_05,"memory-current","0"
session_info_load_05,"memory-last-5min","39362926"
session_info_load_05,"memory-total","592049499"
session_info_load_05,"read-current","0"
session_info_load_05,"read-last-5min","1370674"
session_info_load_05,"read-total","28419168"
session_info_load_05,"write-current","0"
session_info_load_05,"write-last-5min","228901"
session_info_load_05,"write-total","15379200"
session_info_load_05,"duration-current-service","0"
session_info_load_05,"duration-last-5min-service","3352"
session_info_load_05,"duration-all-service","17352"
session_info_load_05,"current-service-name",""
session_info_load_05,"cpu-time-current","0"
session_info_load_05,"cpu-time-last-5min","35751"
session_info_load_05,"cpu-time-total","205187"
session_info_load_05,"data-separation","''"
session_info_load_05,"client-ip","127.0.0.1"
session_info_load_06,"session","25510e27-f24a-4586-9ac9-9f7837c0dea1"
session_info_load_06,"session-id","3"
session_info_load_06,"infobase","717bdda7-2f60-4577-b262-f1fc8c0e472c"
session_info_load_06,"connection","00000000-0000-0000-0000-000000000000"
session_info_load_06,"process","00000000-0000-0000-0000-000000000000"
session_info_load_06,"user-name","DefUser"
session_info_load_06,"host","alko-home"
session_info_load_06,"app-id","1CV8C"
session_info_load_06,"locale","ru"
session_info_load_06,"started-at","2026-02-15T00:10:57"
session_info_load_06,"last-active-at","2026-02-16T00:28:40"
session_info_load_06,"hibernate","no"
session_info_load_06,"passive-session-hibernate-time","1200"
session_info_load_06,"hibernate-session-terminate-time","86400"
session_info_load_06,"blocked-by-dbms","0"
session_info_load_06,"blocked-by-ls","0"
session_info_load_06,"bytes-all","27321514"
session_info_load_06,"bytes-last-5min","5772257"
session_info_load_06,"calls-all","22322"
session_info_load_06,"calls-last-5min","4655"
session_info_load_06,"dbms-bytes-all","38290574"
session_info_load_06,"dbms-bytes-last-5min","7960289"
session_info_load_06,"db-proc-info",""
session_info_load_06,"db-proc-took","0"
session_info_load_06,"db-proc-took-at",""
session_info_load_06,"duration-all","511718"
session_info_load_06,"duration-all-dbms","22347"
session_info_load_06,"duration-current","0"
session_info_load_06,"duration-current-dbms","0"
session_info_load_06,"duration-last-5min","86632"
session_info_load_06,"duration-last-5min-dbms","4684"
session_info_load_06,"memory-current","0"
session_info_load_06,"memory-last-5min","39734126"
session_info_load_06,"memory-total","592420699"
session_info_load_06,"read-current","0"
session_info_load_06,"read-last-5min","1396983"
session_info_load_06,"read-total","28445477"
session_info_load_06,"write-current","0"
session_info_load_06,"write-last-5min","228901"
session_info_load_06,"write-total","15379200"
session_info_load_06,"duration-current-service","0"
